dataset,model,horizon,aggregation_method,anomaly_type,injection_seed,detector_type,average_precision,roc_auc,oracle_best_f1,event_recall,mean_detection_delay
ETTh1,nlinear,24,mean,stuck_with_jitter,3407,rolling_zscore,0.020060223369908325,0.46026616696623196,0.0485133020343689,0.0,
ETTh1,nlinear,24,mean,stuck_with_jitter,3407,flatness,0.0542107389895156,0.7715667903170295,0.1271676300576375,0.0,
ETTh1,nlinear,24,max,drift,42,residual,0.597703906124548,0.8797932502280328,0.5989847715731041,1.0,17.666666666666668
ETTh1,nlinear,24,max,drift,42,raw_zscore,0.10494572548451586,0.5001109759805412,0.17391304347776146,0.6666666666666666,8.0
ETTh1,nlinear,24,max,drift,42,diff_score,0.035541587682846223,0.5632137427789601,0.07692307692280778,0.6666666666666666,21.5
ETTh1,nlinear,24,max,drift,42,rolling_zscore,0.07743548977016365,0.790191547582852,0.16737588652457924,0.0,
ETTh1,nlinear,24,max,drift,42,flatness,0.01921493793692388,0.2991000304043782,0.0583771161704045,0.0,
ETTh1,nlinear,24,max,drift,2024,residual,0.504823042096764,0.8857397467226411,0.49999999999950057,1.0,18.333333333333332
ETTh1,nlinear,24,max,drift,2024,raw_zscore,0.03951437056874978,0.5410653243941324,0.11428571428521431,0.6666666666666666,15.0
ETTh1,nlinear,24,max,drift,2024,diff_score,0.03291344156674079,0.5619164978383007,0.06930693069273136,0.6666666666666666,17.0
ETTh1,nlinear,24,max,drift,2024,rolling_zscore,0.05300156856373699,0.7035060604161879,0.12298682284018764,0.0,
ETTh1,nlinear,24,max,drift,2024,flatness,0.017357572943876454,0.31928402848848136,0.05122166617598777,0.0,
ETTh1,nlinear,24,max,drift,3407,residual,0.38748319978919243,0.8297587526827792,0.45555555555505955,1.0,26.0
ETTh1,nlinear,24,max,drift,3407,raw_zscore,0.018254199880738897,0.39214858356627114,0.04865462587535605,1.0,15.5
ETTh1,nlinear,24,max,drift,3407,diff_score,0.03381375095915642,0.6170576825211858,0.07099799062280308,0.5,24.0
ETTh1,nlinear,24,max,drift,3407,rolling_zscore,0.056789199933668315,0.7277430727134607,0.13387423935063547,0.0,
ETTh1,nlinear,24,max,drift,3407,flatness,0.01906297150214693,0.40134747431538426,0.048463356973947984,0.0,
ETTh1,nlinear,24,max,noise_burst,42,residual,0.565698103711538,0.9128295791863105,0.5781249999995031,1.0,0.875
ETTh1,nlinear,24,max,noise_burst,42,raw_zscore,0.2542474680504244,0.6411122751877074,0.31325301204791234,1.0,1.5
ETTh1,nlinear,24,max,noise_burst,42,diff_score,0.7556987128665783,0.9532870612886327,0.7359999999995053,1.0,0.0
ETTh1,nlinear,24,max,noise_burst,42,rolling_zscore,0.15898285346017454,0.7550331761829928,0.30769230769180833,1.0,0.5
ETTh1,nlinear,24,max,noise_burst,42,flatness,0.010809558361460008,0.09408940108259123,0.0400929692039119,0.0,
ETTh1,nlinear,24,max,noise_burst,2024,residual,0.6324488478092689,0.9023931476778719,0.6111111111106551,1.0,0.875
ETTh1,nlinear,24,max,noise_burst,2024,raw_zscore,0.30225786136921273,0.6936469676752894,0.3908045977008349,1.0,0.875
ETTh1,nlinear,24,max,noise_burst,2024,diff_score,0.8434660101345249,0.9733783841948953,0.7968749999995043,1.0,0.0
ETTh1,nlinear,24,max,noise_burst,2024,rolling_zscore,0.13304705404986691,0.7338096672836051,0.26086956521691496,1.0,0.25
ETTh1,nlinear,24,max,noise_burst,2024,flatness,0.010908577832861798,0.09038867128653208,0.04061502756015748,0.0,
