dataset,horizon,model,anomaly_type,injection_seed,forecast_mae,forecast_rmse,forecast_wape,average_precision,oracle_best_f1,fixed_f1,fixed_precision,fixed_recall,event_recall,mean_detection_delay
ETTh2,24,dlinear,level_shift,42,2.825991630554199,3.910385384262604,10.63075351715088,1.0,0.9999999999995,0.6209677419354839,0.4502923976608187,1.0,1.0,0.0
ETTh2,24,dlinear,level_shift,2024,2.825991630554199,3.910385384262604,10.63075351715088,1.0,0.9999999999995,0.5800865800865801,0.40853658536585363,1.0,1.0,0.0
ETTh2,24,dlinear,level_shift,3407,2.825991630554199,3.910385384262604,10.63075351715088,0.9999999999999999,0.9999999999995,0.6245059288537549,0.4540229885057471,1.0,1.0,0.0
ETTh2,24,dlinear,frozen,42,2.825991630554199,3.910385384262604,10.63075351715088,0.5200136762767358,0.5666666666662067,0.38679245283018865,0.3037037037037037,0.5324675324675324,0.8,4.25
ETTh2,24,dlinear,frozen,2024,2.825991630554199,3.910385384262604,10.63075351715088,0.30214990556465043,0.34693877550977154,0.28272251308900526,0.21774193548387097,0.40298507462686567,1.0,7.5
ETTh2,24,dlinear,frozen,3407,2.825991630554199,3.910385384262604,10.63075351715088,0.7421382554815094,0.7272727272722468,0.5064377682403433,0.38311688311688313,0.7468354430379747,1.0,3.0
ETTh2,24,lstm,spike,42,3.5088582038879395,4.679678329433314,13.199545860290527,1.0000000000000002,0.9999999999995,1.0,1.0,1.0,1.0,0.0
ETTh2,24,lstm,spike,2024,3.5088582038879395,4.679678329433314,13.199545860290527,1.0000000000000002,0.9999999999995,1.0,1.0,1.0,1.0,0.0
ETTh2,24,lstm,spike,3407,3.5088582038879395,4.679678329433314,13.199545860290527,0.9999999999999998,0.9999999999995,1.0,1.0,1.0,1.0,0.0
ETTh2,24,lstm,level_shift,42,3.5088582038879395,4.679678329433314,13.199545860290527,1.0,0.9999999999995,1.0,1.0,1.0,1.0,0.0
ETTh2,24,lstm,level_shift,2024,3.5088582038879395,4.679678329433314,13.199545860290527,1.0000000000000002,0.9999999999995,1.0,1.0,1.0,1.0,0.0
ETTh2,24,lstm,level_shift,3407,3.5088582038879395,4.679678329433314,13.199545860290527,0.9999999999999999,0.9999999999995,1.0,1.0,1.0,1.0,0.0
